起点名,起点坐标,终点名,终点坐标,是否连通
喀什,"40,197",库尔勒,"242,200",是
库尔勒,"242,200",乌鲁木齐,"273,150",是
乌鲁木齐,"273,150",阿拉山口,"192,98",是
乌鲁木齐,"273,150",兰州,"553,392",是
库尔勒,"242,200",兰州,"553,392",是
兰州,"553,392",西宁,"501,367",是
兰州,"553,392",宝鸡,"622,432",是
兰州,"553,392",银川,"606,316",是
西宁,"501,367",格尔木,"376,357",是
格尔木,"376,357",拉萨,"255,506",是
宝鸡,"622,432",西安,"652,432",是
宝鸡,"622,432",成都,"546,528",是
成都,"546,528",昆明,"509,666",是
成都,"546,528",重庆,"590,555",是
昆明,"509,666",大理,"445,643",是
银川,"606,316",包头,"669,275",是
包头,"669,275",呼和浩特,"717,261",是
呼和浩特,"717,261",通辽,"890,184",是
通辽,"890,184",哈尔滨,"959,117",是
哈尔滨,"959,117",满洲里,"787,51",是
通辽,"890,184",满洲里,"787,51",是
哈尔滨,"959,117",长春,"944,173",是
哈尔滨,"959,117",绥芬河,"1,038,139",是
长春,"944,173",沈阳,"920,233",是
沈阳,"920,233",大连,"892,310",是
沈阳,"920,233",天津,"809,309",是
天津,"809,309",北京,"790,284",是
北京,"790,284",通辽,"890,184",是
北京,"790,284",呼和浩特,"717,261",是
呼和浩特,"717,261",太原,"726,341",是
太原,"726,341",北京,"790,284",是
北京,"790,284",石家庄,"763,341",是
北京,"790,284",南昌,"805,567",是
天津,"809,309",济南,"812,369",是
济南,"812,369",徐州,"817,427",是
徐州,"817,427",连云港,"868,418",是
徐州,"817,427",南京,"860,483",是
太原,"726,341",焦作,"724,409",是
焦作,"724,409",柳州,"654,681",是
昆明,"509,666",贵阳,"604,626",是
重庆,"590,555",贵阳,"604,626",是
重庆,"590,555",西安,"652,432",是
昆明,"509,666",南宁,"638,719",是
南宁,"638,719",柳州,"654,681",是
柳州,"654,681",湛江,"683,757",是
柳州,"654,681",贵阳,"604,626",是
贵阳,"604,626",长沙,"746,581",是
长沙,"746,581",武汉,"767,527",是
长沙,"746,581",株洲,"744,599",是
株洲,"744,599",广州,"743,708",是
广州,"743,708",九龙,"770,727",是
九龙,"770,727",南昌,"805,567",是
南昌,"805,567",厦门,"880,633",是
南昌,"805,567",福州,"855,667",是
福州,"855,667",厦门,"880,633",是
南昌,"805,567",合肥,"822,486",是
南昌,"805,567",杭州,"886,525",是
北京,"790,284",合肥,"822,486",是
杭州,"886,525",上海,"913,498",是
上海,"913,498",南京,"860,483",是
合肥,"822,486",南京,"860,483",是
武汉,"767,527",南昌,"805,567",是
武汉,"767,527",郑州,"754,424",是
武汉,"767,527",西安,"652,432",是
郑州,"754,424",西安,"652,432",是
郑州,"754,424",徐州,"817,427",是
